who,overlap,years
"g1","g2",35
"g1","g3",60
"g1","g4",5
"g1","g5",0
"g1","g6",0
"g1","g7",0
"g1","g8",0
"g1","g9",0
"g1","g10",0
"g2","g1",35
"g2","g3",48
"g2","g4",18
"g2","g5",0
"g2","g6",0
"g2","g7",0
"g2","g8",0
"g2","g9",0
"g2","g10",0
"g3","g1",60
"g3","g2",48
"g3","g4",40
"g3","g5",11
"g3","g6",0
"g3","g7",0
"g3","g8",0
"g3","g9",0
"g3","g10",0
"g4","g1",5
"g4","g2",18
"g4","g3",40
"g4","g5",18
"g4","g6",0
"g4","g7",0
"g4","g8",0
"g4","g9",0
"g4","g10",0
"g5","g1",0
"g5","g2",0
"g5","g3",11
"g5","g4",18
"g5","g6",11
"g5","g7",0
"g5","g8",0
"g5","g9",0
"g5","g10",0
"g6","g1",0
"g6","g2",0
"g6","g3",0
"g6","g4",0
"g6","g5",0
"g6","g7",49
"g6","g8",14
"g6","g9",0
"g6","g10",0
"g7","g1",0
"g7","g2",0
"g7","g3",0
"g7","g4",0
"g7","g5",0
"g7","g6",14
"g7","g8",5
"g7","g9",40
"g7","g10",0
"g8","g1",0
"g8","g2",0
"g8","g3",0
"g8","g4",0
"g8","g5",0
"g8","g6",0
"g8","g7",5
"g8","g9",8
"g8","g10",0
"g9","g1",0
"g9","g2",0
"g9","g3",0
"g9","g4",0
"g9","g5",0
"g9","g6",0
"g9","g7",14
"g9","g8",8
"g9","g10",9
"g10","g1",0
"g10","g2",0
"g10","g3",0
"g10","g4",0
"g10","g5",0
"g10","g6",0
"g10","g7",0
"g10","g8",0
"g10","g9",9