who,overlap,years
27,24452,9
22874,7566,11
2030,8135,10
1671,1672,10
23426,23427,12
1028,1029,10
26171,9216,11
1978,7168,10
162,447,8
1672,1671,10
214,8665,9
2607,3471,10
2694,3585,10
22548,37063,12
1275,7195,10
1923,7182,10
1616,10998,11
2694,2441,10
2424,7171,10
22676,22677,12
2398,2437,10
141,4638,9
1036,8699,10
2509,49209,11
1028,3743,10
1895,7188,10
2478,3854,10
26540,1220,11
2785,7350,10
2655,7218,10
1671,5103,10
1762,8700,10
1189,7134,10
2631,7386,10
1732,294,9
1091,8080,10
2345,8323,10
23208,4798,11
11278,11277,1
11277,11278,1
1646,11341,11
1634,2882,10
1808,8319,10
1947,22660,11
2174,23672,11
12501,3155,11
11,37958,9
1122,8299,10
2333,8104,10
1626,8378,10
2430,3252,10
1429,8303,10
2188,1122,10
23323,11860,12
11,5777,8
2229,3389,10
12171,5066,11
23384,12025,12
12660,11875,12
12650,23933,12
23630,23631,12
12509,11875,12
12727,12639,12
11904,23390,12
1084,12868,11
11947,3569,11
24094,11904,12
1673,36990,11
1014,36990,11
23772,3319,11
12171,3263,11
12501,12074,12
23865,23866,12
2791,8365,10
13012,24341,12
24583,12501,12
24524,12501,12
24265,4748,11
24227,24265,12
24469,8255,11
12501,27492,12
1145,1300,10
23842,23843,12
23390,24246,12
13483,12501,12
23519,24211,12
12501,8255,11
13088,3569,11
13470,12509,12
24386,24387,12
12025,23386,12
23413,23446,12
23413,6106,11
23448,23443,12
14161,12509,12
1878,42880,11
23779,12171,12
13470,12997,12
23947,23948,12
23990,14384,12
23390,14561,12
12172,23764,12
23893,23894,12
23604,24542,12
23353,24343,12
1497,2865,10
12501,23810,12
13012,23390,12
24211,23468,12
24174,15382,12
24173,24174,12
11,837,7
24370,5826,11
2791,2791,10
24029,11904,12
2648,8067,10
1473,2224,10
2002,1547,10
1898,1547,10
1932,1941,10
2199,6448,10
1310,26529,11
1724,2235,10
107,203,8
24409,1889,11
1243,19235,11
19238,5005,11
1891,6294,10
1878,30654,11
1878,31253,11
2505,6599,10
2223,5564,10
2558,4016,10
2330,6817,10
107,5881,9
107,1597,9
11,11811,9
212,186,8
186,6537,9
234,21325,10
21325,234,10
1325,13488,11
25843,22559,12
22564,29566,12
22574,22577,12
22576,8174,11
22591,7983,11
16292,5676,11
22897,22898,12
22899,22900,12
22938,46706,12
23262,23263,12
2079,17509,11
2079,4363,10
2079,6443,10
23980,23981,12
24427,24428,12
24459,13482,12
16790,29160,12
2359,24657,11
24627,24628,12
24864,24866,12
25103,4119,11
1559,18838,11
26099,26100,12
26123,26124,12
26125,26126,12
26132,26133,12
26275,8259,11
26361,26362,12
26376,26377,12
26421,26424,12
26439,31211,12
26612,41932,12
26933,26932,12
26969,26970,12
26985,26987,12
26995,26996,12
27007,27009,12
27023,27024,12
27027,27026,12
27040,27041,12
27049,27050,12
27196,32064,12
27479,6956,11
2702,27589,11
27464,27465,12
27469,27468,12
2079,31652,11
27737,32537,12
27781,27782,12
27918,28941,12
27997,28914,12
26860,35143,12
25982,35850,12
26488,27524,12
21439,29740,12
22846,6969,11
1784,6106,10
26424,26421,12
26382,29558,12
23263,23262,12
18844,34536,12
19075,7525,11
26498,31879,12
1247,7653,10